age,annual_income,employment_type,education,loan_amount,interest_rate_pct,term_months,credit_score,num_open_accounts,delinquency_30d,residence_type,Default
42,57272.0,Self-Employed,Masters,8516.0,5.8500000000000005,48,730.0,10,No,Own,0
51,45786.0,Salaried,Masters,13760.0,9.97,36,677.0,7,No,Mortgage,0
69,42359.0,Salaried,Bachelors,2569.0,13.75,48,624.0,2,No,Own,0
65,50709.0,Self-Employed,Masters,13204.0,8.700000000000001,48,698.0,3,No,Rent,0
30,46272.0,Salaried,HS,7700.0,7.530000000000001,48,532.0,7,No,Rent,0
67,80366.0,Self-Employed,Masters,6238.0,7.260000000000001,72,715.0,5,No,Own,0
73,53841.0,Salaried,HS,10011.0,12.35,48,646.0,1,Yes,Own,1
31,24441.0,Salaried,HS,6946.0,9.09,60,850.0,5,Yes,Mortgage,0
74,49362.0,Self-Employed,Bachelors,3292.0,9.74,24,616.0,2,No,Own,0
35,32341.0,Unemployed,HS,3148.0,9.97,36,735.0,3,No,Own,0
74,39734.0,Salaried,Masters,2651.0,8.96,48,675.0,4,No,Rent,0
67,38451.0,Self-Employed,HS,8772.0,7.25,36,695.0,5,No,Rent,0
65,28075.0,Salaried,Masters,6575.0,8.63,60,477.0,3,No,Rent,0
71,63107.0,Self-Employed,Bachelors,3040.0,3.9,72,621.0,7,Yes,Rent,0
49,18492.0,Salaried,Masters,10850.0,10.54,48,759.0,6,No,Own,1
55,26620.0,Salaried,Bachelors,4314.0,13.12,36,723.0,8,No,Own,0
25,28609.0,Salaried,HS,4532.0,10.38,60,711.0,5,No,Own,0
58,33870.0,Salaried,Masters,3155.0,10.47,24,850.0,3,No,Rent,0
40,58887.0,Salaried,HS,4850.0,11.91,48,643.0,6,No,Rent,1
68,52112.0,Salaried,HS,6697.0,7.550000000000001,36,775.0,8,No,Rent,0
49,28606.0,Salaried,Bachelors,9088.0,11.55,24,762.0,9,No,Rent,1
33,27634.0,Unemployed,PhD,20147.0,13.17,48,530.0,8,No,Mortgage,1
66,36467.0,Self-Employed,Bachelors,6196.0,9.25,36,750.0,6,No,Rent,0
35,69036.0,Salaried,Masters,6604.0,11.32,36,722.0,3,No,Mortgage,0
41,37705.0,Salaried,Masters,5182.0,9.27,36,668.0,8,No,Mortgage,0
42,108704.0,Salaried,Masters,8709.0,11.51,72,674.0,5,No,Own,0
73,53738.0,Salaried,Bachelors,12586.0,5.87,24,850.0,5,No,Own,0
44,69502.0,Self-Employed,HS,8202.0,9.77,36,776.0,3,No,Own,0
44,36583.0,Salaried,Bachelors,8065.0,5.25,48,740.0,9,No,Rent,0
33,15943.0,Salaried,Bachelors,3569.0,6.86,48,688.0,4,No,Mortgage,0
48,51575.0,Salaried,HS,4201.0,9.54,24,741.0,3,No,Mortgage,0
44,64788.0,Salaried,Masters,10760.0,8.72,48,764.0,3,No,Rent,0
37,19333.0,Salaried,Bachelors,9301.0,10.88,72,813.0,1,No,Own,1
34,51824.0,Salaried,HS,8389.0,5.86,60,646.0,7,No,Rent,0
60,29757.0,Salaried,Masters,7985.0,3.25,60,686.0,2,No,Mortgage,0
56,25402.0,Salaried,Bachelors,19665.0,10.96,36,630.0,5,No,Mortgage,1
41,53669.0,Salaried,Bachelors,8637.0,4.46,48,723.0,4,Yes,Rent,0
53,72048.0,Unemployed,PhD,21123.0,10.0,24,682.0,4,No,Rent,0
22,54817.0,Salaried,HS,10513.0,7.960000000000001,24,648.0,4,No,Mortgage,0
62,35753.0,Self-Employed,Bachelors,3632.0,15.09,36,629.0,7,No,Rent,0
22,24611.0,Unemployed,HS,13789.0,10.76,60,670.0,3,Yes,Own,1
28,74508.0,Salaried,Bachelors,12741.0,10.05,48,726.0,10,No,Mortgage,0
68,37757.0,Self-Employed,Bachelors,9874.0,9.33,36,826.0,5,No,Own,0
67,77633.0,Salaried,Bachelors,5627.0,8.53,24,626.0,7,No,Rent,1
36,94516.0,Self-Employed,HS,23939.0,3.38,48,734.0,7,No,Rent,0
52,29613.0,Self-Employed,Bachelors,6040.0,7.28,48,670.0,3,No,Own,0
51,40581.0,Salaried,Bachelors,4561.0,13.0,72,627.0,2,Yes,Rent,1
45,56620.0,Salaried,HS,6704.0,12.02,48,647.0,6,Yes,Mortgage,0
