National Total;Provinces;Dwelling status;Period;Total
Total;02 Albacete;General;2024;56
Total;03 Alicante/Alacant;General;2024;1,037
Total;04 Almería;General;2024;463
Total;01 Araba/Álava;General;2024;31
Total;33 Asturias;General;2024;202
Total;05 Ávila;General;2024;46
Total;06 Badajoz;General;2024;118
Total;07 Balears, Illes;General;2024;185
Total;08 Barcelona;General;2024;1,668
Total;48 Bizkaia;General;2024;112
Total;09 Burgos;General;2024;53
Total;10 Cáceres;General;2024;57
Total;11 Cádiz;General;2024;429
Total;39 Cantabria;General;2024;107
Total;12 Castellón/Castelló;General;2024;268
Total;13 Ciudad Real;General;2024;80
Total;14 Córdoba;General;2024;201
Total;15 Coruña, A;General;2024;178
Total;16 Cuenca;General;2024;20
Total;20 Gipuzkoa;General;2024;63
Total;17 Girona;General;2024;442
Total;18 Granada;General;2024;329
Total;19 Guadalajara;General;2024;79
Total;21 Huelva;General;2024;127
Total;22 Huesca;General;2024;55
Total;23 Jaén;General;2024;187
Total;24 León;General;2024;98
Total;25 Lleida;General;2024;103
Total;27 Lugo;General;2024;27
Total;28 Madrid;General;2024;1,161
Total;29 Málaga;General;2024;420
Total;30 Murcia;General;2024;684
Total;31 Navarra;General;2024;56
Total;32 Ourense;General;2024;24
Total;34 Palencia;General;2024;14
Total;35 Palmas, Las;General;2024;383
Total;36 Pontevedra;General;2024;152
Total;26 Rioja, La;General;2024;111
Total;37 Salamanca;General;2024;27
Total;38 Santa Cruz de Tenerife;General;2024;281
Total;40 Segovia;General;2024;10
Total;41 Sevilla;General;2024;538
Total;42 Soria;General;2024;2
Total;43 Tarragona;General;2024;454
Total;44 Teruel;General;2024;9
Total;45 Toledo;General;2024;269
Total;46 Valencia/València;General;2024;920
Total;47 Valladolid;General;2024;139
Total;49 Zamora;General;2024;19
Total;50 Zaragoza;General;2024;207
Total;51 Ceuta;General;2024;6
Total;52 Melilla;General;2024;10
